case_id,case_label,mode,seed,ue_id,selected_slots,successful_slots,selection_fraction,success_fraction,final_delivered_bits,final_wait_slots,cqi,demand_factor
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,800,265,244,0.053,0.0488,23478.59127807617,4,1,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,801,302,284,0.0604,0.0568,676001.3080444336,2,12,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,802,287,264,0.0574,0.0528,439475.9577026367,0,10,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,803,279,247,0.0558,0.0494,853905.7836914062,70,15,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,804,253,233,0.0506,0.0466,214619.2073974609,30,7,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,805,250,223,0.05,0.0446,32206.67227935791,1,2,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,806,263,239,0.0526,0.0478,34780.49677276611,13,2,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,807,259,226,0.0518,0.0452,757600.6201171875,48,15,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,808,251,231,0.0502,0.0462,213125.833190918,19,7,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,809,283,262,0.0566,0.0524,24710.832244873047,29,1,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,810,273,241,0.0546,0.0482,359830.4411315918,54,9,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,811,300,264,0.06,0.0528,443420.9842529297,45,10,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,812,283,249,0.0566,0.0498,694713.8400878906,5,13,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,813,259,224,0.0518,0.0448,704309.0543823242,34,14,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,814,291,259,0.0582,0.0518,303651.0153808594,10,8,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,815,270,246,0.054,0.0492,418961.8196411133,45,10,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,816,258,234,0.0516,0.0468,87093.01254272461,39,4,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,817,245,219,0.049,0.0438,81443.26622009277,19,4,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,818,299,270,0.0598,0.054,397030.3031616211,6,9,2.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,819,286,256,0.0572,0.0512,297013.8347167969,7,8,0.5
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,820,258,237,0.0516,0.0474,172088.0121459961,9,6,1.0
t025_j075,25% throughput + 75% Jain fairness,stochastic,1701,821,284,264,0.0568,0.0528,432374.9099121094,8,10,0.5
